pickup_location_id,dropoff_location_id,avg_tip
251,43,144.0
44,204,103.0
16,113,100.0
18,60,80.0
69,235,68.78333333333333
265,150,60.0
78,81,60.0
11,13,60.0
15,167,60.0
54,227,59.81
6,138,54.205
202,130,52.6
217,130,52.0925
86,117,50.84
149,29,50.0
131,191,50.0
93,196,49.35
195,124,48.76
203,200,47.0
261,59,46.5
191,19,46.086666666666666
167,156,46.02
22,265,45.29
237,5,45.0
256,139,45.0
174,224,45.0
123,146,45.0
130,242,44.805
215,1,42.565999999999995
239,214,42.0
157,189,42.0
108,265,41.879999999999995
167,117,40.64
206,132,40.0
259,94,40.0
11,158,40.0
159,117,39.25599999999999
228,44,38.85
23,87,38.02
119,46,38.0
64,48,37.0
253,169,36.76
139,1,36.2
150,1,36.15
173,39,35.94
1,67,35.79
40,130,35.35333333333333
63,124,35.19
240,239,35.0
56,82,35.0
97,62,34.855555555555554
56,45,33.98
154,164,33.31
26,1,32.74
50,27,32.5
244,176,32.49
264,235,32.35775510204081
204,265,32.16
119,180,32.0
19,18,31.44
75,84,31.3
223,44,30.55
265,206,30.23
247,31,30.08
247,235,30.004
1,214,30.0
96,106,30.0
189,256,30.0
240,241,30.0
180,17,30.0
208,265,29.813913043478262
265,156,29.66
119,1,29.35
56,1,29.0925
251,265,28.73
28,1,28.521666666666672
24,201,28.27
240,138,28.0
11,1,27.861666666666668
141,99,27.75
200,1,27.58
241,163,27.54
157,1,27.53
14,1,27.52
124,117,27.2
81,156,26.96
1,43,26.79
70,1,26.7375
159,31,26.7
238,204,26.58
6,265,26.23
129,27,26.0
28,62,26.0
115,1,25.86
1,41,25.86
121,221,25.85
142,84,25.372500000000002
1,24,25.29
69,1,25.285
118,5,25.2
236,84,25.14
244,118,25.10666666666667
240,161,25.0
156,264,25.0
214,237,25.0
245,162,25.0
44,238,25.0
19,64,25.0
227,265,25.0
149,123,25.0
239,204,25.0
24,176,24.92
219,1,24.750588235294117
144,204,24.588
236,214,24.47
39,265,24.459199999999996
14,84,24.415
129,1,24.406666666666666
77,265,24.4
18,136,24.05
13,86,24.02
189,204,23.9
5,141,23.79
203,230,23.755000000000003
64,174,23.7
64,170,23.66
1,261,23.65
232,201,23.5925
119,201,23.58
156,90,23.56
101,201,23.54
250,265,23.52285714285714
143,204,23.52
83,1,23.40222222222222
177,40,23.373333333333335
253,265,23.276410256410255
241,230,23.236666666666668
155,265,23.2175
1,121,23.16
14,98,23.156666666666666
154,265,23.086666666666662
226,44,23.08
96,71,23.0
174,1,22.99
160,161,22.9825
196,1,22.98
16,257,22.92
237,84,22.85
109,98,22.66
40,117,22.62
8,1,22.603333333333335
155,19,22.59
216,200,22.55
170,99,22.3
176,33,22.26
255,253,22.22
124,265,22.21173913043478
55,1,22.166666666666668
174,164,22.15
230,204,22.085333333333335
28,217,22.0
236,204,22.0
154,1,21.912
46,117,21.91
14,22,21.875
51,165,21.76
265,198,21.729999999999997
229,115,21.71
213,1,21.706666666666667
224,84,21.7
237,44,21.7
211,84,21.6
234,44,21.511666666666667
254,240,21.5
238,118,21.310000000000002
74,204,21.28
156,98,21.26
125,109,21.15
109,262,21.14
107,176,21.122142857142858
176,131,21.064999999999998
264,94,21.036666666666665
232,84,21.03
229,204,21.02625
96,230,21.0
118,229,21.0
155,5,21.0
15,265,20.998461538461534
134,33,20.96
17,243,20.955000000000002
265,160,20.95
254,261,20.94
1,132,20.88375
257,174,20.87
209,44,20.85
250,138,20.826666666666668
26,87,20.8
5,5,20.773076923076925
163,204,20.758888888888887
76,1,20.736
136,138,20.717499999999998
239,115,20.705
13,44,20.6875
48,44,20.675714285714285
197,255,20.63
14,265,20.62181818181818
93,1,20.56666666666667
61,1,20.563000000000002
135,176,20.560000000000002
242,132,20.52
85,169,20.42
32,144,20.4
246,5,20.325000000000003
90,27,20.30333333333333
238,245,20.3
239,84,20.286666666666665
140,5,20.284285714285716
44,113,20.26
198,265,20.255
1,263,20.25
119,214,20.2
32,156,20.17
176,98,20.16
107,44,20.090000000000003
66,121,20.08
90,204,20.021666666666665
152,84,20.02
1,162,20.0075
135,129,20.0
178,262,20.0
216,44,20.0
224,27,20.0
50,253,20.0
94,246,20.0
176,265,20.0
63,49,20.0
33,34,20.0
66,115,20.0
7,8,20.0
113,27,20.0
23,138,20.0
211,44,20.0
176,132,20.0
264,184,20.0
96,188,20.0
265,251,20.0
65,172,20.0
9,107,20.0
252,143,20.0
157,143,20.0
1,14,19.973333333333333
170,204,19.971111111111114
65,46,19.97
242,87,19.95
264,115,19.881428571428575
152,22,19.88
163,27,19.82
223,1,19.81173913043478
142,156,19.8
125,44,19.78
246,27,19.68
89,1,19.669999999999998
220,24,19.666666666666668
117,117,19.644489795918364
32,48,19.64
4,44,19.6
246,204,19.59
49,58,19.59
92,265,19.505384615384614
207,1,19.419166666666666
233,204,19.366666666666664
247,1,19.36
118,265,19.32
1,140,19.29
39,44,19.26
135,109,19.26
163,84,19.220000000000002
32,265,19.200000000000003
151,118,19.16
194,1,19.128
257,1,19.127499999999998
215,265,19.1140234375
200,162,19.09
109,109,19.049999999999997
56,265,19.015
263,39,19.014705882352942
143,245,18.995
135,156,18.985
89,112,18.979230769230767
138,44,18.958947368421054
257,203,18.95
11,265,18.93153846153846
258,186,18.92
102,261,18.9
9,48,18.875
1,236,18.86
227,1,18.86
44,44,18.833333333333332
1,75,18.825
117,113,18.8
43,23,18.77
226,1,18.76277777777778
162,44,18.754444444444445
93,265,18.730124999999997
242,127,18.7
210,5,18.7
180,216,18.7
149,265,18.695
130,156,18.69
70,265,18.676819407008086
143,251,18.64
119,140,18.633333333333333
42,251,18.62
79,204,18.555555555555557
88,99,18.52
170,109,18.516060606060606
1,138,18.50421052631579
252,265,18.503764705882354
202,265,18.5
1,148,18.475
224,23,18.46
249,204,18.45
176,121,18.45
74,245,18.4
12,185,18.39
174,156,18.37
43,251,18.369999999999997
30,30,18.36111111111111
194,265,18.350604026845637
223,265,18.328928176795575
224,5,18.325
10,265,18.31183448275862
216,265,18.26626712328767
138,1,18.264689655172415
79,44,18.23125
254,112,18.23
89,152,18.155
265,216,18.153333333333332
144,150,18.144347826086957
100,27,18.115000000000002
238,117,18.105555555555554
160,261,18.09
255,204,18.05
214,161,18.05
51,265,18.04222222222222
43,172,18.02
262,109,18.003999999999998
255,23,17.95
129,265,17.93661764705882
142,30,17.905
68,44,17.893103448275863
132,1,17.886953055801595
48,176,17.873157894736845
11,138,17.86
229,109,17.86
237,27,17.8475
66,139,17.82
247,251,17.82
46,156,17.82
175,142,17.8
186,187,17.799999999999997
40,1,17.794999999999995
43,115,17.77
233,27,17.745384615384616
40,265,17.735714285714288
232,109,17.7
238,172,17.69666666666667
239,201,17.692857142857143
93,27,17.69
33,265,17.689999999999998
91,1,17.686666666666667
49,200,17.68
135,172,17.66
206,155,17.65
90,44,17.623333333333335
158,30,17.61
262,203,17.57
124,138,17.57
233,5,17.561666666666667
193,15,17.55
175,143,17.529999999999998
239,30,17.5275
130,265,17.524671052631582
16,155,17.51
125,251,17.5
242,115,17.4975
36,1,17.46
1,246,17.433333333333334
54,1,17.432
127,91,17.41
60,249,17.35
121,263,17.335
233,23,17.3336
151,172,17.33
117,168,17.305
112,115,17.3
219,265,17.297731568998106
134,1,17.28
6,214,17.27
1,65,17.26
10,6,17.26
211,245,17.25
249,44,17.23
188,1,17.23
120,70,17.205
106,85,17.2
265,83,17.2
141,187,17.195
124,249,17.19
158,176,17.185000000000002
252,243,17.18
156,135,17.16
165,238,17.157999999999998
263,187,17.15
255,84,17.15
48,172,17.137333333333334
112,1,17.127142857142854
136,39,17.11
8,265,17.105555555555554
7,109,17.06
170,201,17.04771428571429
100,176,17.045526315789477
27,230,17.04
259,228,17.035
68,27,17.034999999999997
174,210,17.03
55,265,17.0175
57,225,17.0
216,1,16.993684210526315
237,201,16.988888888888894
10,264,16.980645161290322
209,84,16.96
211,27,16.95
7,150,16.95
226,265,16.94878787878788
264,109,16.933333333333334
261,38,16.928636363636365
109,261,16.92
148,176,16.903333333333332
166,23,16.9
149,138,16.8925
114,117,16.892
230,187,16.868333333333336
118,252,16.86
91,207,16.85
76,150,16.825
87,30,16.81
233,115,16.7975
7,11,16.775
263,172,16.772000000000002
145,187,16.76
164,30,16.76
212,165,16.76
166,109,16.75
255,30,16.74
1,170,16.717142857142857
46,226,16.705
75,67,16.700588235294116
252,249,16.7
158,201,16.69333333333333
193,1,16.687777777777782
224,118,16.685
247,54,16.67
154,26,16.665
241,117,16.66
1,228,16.66
113,101,16.65
106,1,16.641333333333332
13,64,16.62
55,229,16.6
1,238,16.56
1,142,16.54
43,201,16.52
249,115,16.512857142857143
206,3,16.51
166,206,16.5
172,98,16.46
113,176,16.46
73,14,16.44
239,6,16.433333333333334
13,30,16.41
249,206,16.397333333333332
