trip_distance_bin,avg_tip
0.3,0.8115948
0.38,1.0110167
0.44,3.6874676
0.72,2.7459025
0.77,2.423585
0.79,2.8785753
0.84,2.0059664
0.86,2.2171268
1.07,2.9425316
1.09,2.2451494
1.17,2.3345826
1.21,1.931236
1.34,2.0315156
1.37,2.2914352
1.65,2.0675757
1.73,2.2111185
1.77,2.3118567
1.8,2.309306
1.82,2.177475
1.9,2.4013774
2.34,2.9134674
2.45,2.87693
2.46,2.833929
2.49,2.8501
2.54,2.904231
2.55,2.9136372
2.56,2.883363
2.63,3.0359309
2.74,3.1673837
2.99,3.2472425
3.02,3.2138982
3.04,3.2186804
3.12,3.382235
3.25,3.4643126
3.32,3.3884757
3.37,3.36335
3.5,3.5325706
3.6,3.5528407
3.68,3.5395675
3.75,3.451571
3.76,3.6918201
3.85,3.652476
3.91,3.6400864
3.94,3.7643235
3.96,3.742415
4.19,3.7689211
4.27,3.801762
4.32,3.8811548
4.55,3.9781842
4.72,3.8188407
4.78,3.8743806
4.88,3.974503
5.01,3.9756207
5.02,3.9220135
5.11,3.9868553
5.12,3.987923
5.25,4.0708504
5.34,4.018962
5.41,4.0966954
5.52,4.1253247
5.55,4.144436
5.56,4.1500864
5.69,4.129224
5.83,4.1598473
5.84,4.1354594
5.85,4.1839952
5.9,4.210408
5.91,4.1641817
6.01,4.1624026
6.03,4.1753945
6.52,4.261765
6.78,4.2816515
6.87,4.302991
6.89,4.231354
6.94,4.2386127
6.97,4.303974
7.03,4.262628
7.13,4.354587
7.15,4.3545685
7.26,4.352351
7.33,4.42753
7.39,4.4564376
7.5,4.6188254
7.59,4.565975
7.66,4.6273675
7.67,4.646741
7.69,4.677283
7.72,4.664507
7.79,4.6832304
7.8,4.8479676
7.81,4.8258657
7.82,4.810133
7.88,4.848527
7.92,4.8690033
7.99,4.941559
8.06,4.9661274
8.09,5.009709
8.2,5.286345
8.24,5.2853694
8.36,5.3815126
8.37,5.370755
8.67,5.8437643
8.87,5.8829665
9.03,6.0146337
9.06,6.105192
9.12,6.056803
9.18,6.104793
9.21,6.1121435
9.34,6.1856647
9.44,6.1121855
9.51,6.1976204
9.56,6.2701483
9.6,6.3412895
9.61,6.348091
9.69,6.355986
9.73,6.3801165
9.78,6.3788996
9.9,6.5004187
9.94,6.4983616
10.03,6.506495
10.13,6.644134
10.26,6.610085
10.31,6.629931
10.33,6.7568226
10.35,6.5925765
10.38,6.714129
10.4,6.758619
10.47,6.6977797
10.5,6.7761126
10.52,6.762558
10.53,6.7785807
10.62,6.8263903
10.65,6.723502
10.66,6.8440247
10.7,6.834639
10.75,6.879689
10.81,6.814656
10.85,6.800458
10.97,6.8279357
11.01,6.8066926
11.07,6.9152513
11.13,6.8771806
11.24,6.851534
11.34,6.9716387
11.35,6.984627
11.36,6.8756146
11.38,6.917934
11.4,6.928294
11.65,7.0059986
11.7,6.9472475
11.81,7.1142316
11.86,7.1883
11.91,7.093839
12.02,7.0377665
12.17,7.1312466
12.28,7.063131
12.3,7.193752
12.59,7.2284136
12.7,7.203195
12.71,7.1951365
12.81,7.1749434
12.89,7.2493763
12.94,6.980137
12.99,7.4711843
13.05,7.284342
13.09,7.03964
13.14,7.351882
13.32,7.276324
13.34,7.136624
13.36,7.2957253
13.42,7.480589
13.49,7.5973077
13.55,7.3326116
13.61,7.319596
13.78,7.499485
14.01,7.4423475
14.02,7.565119
14.12,7.4166465
14.14,7.402972
14.34,7.350918
14.37,7.5403843
14.38,7.4809337
14.49,7.640685
14.52,7.4667196
14.58,7.5566473
14.86,7.5914335
14.88,8.186684
14.98,7.525926
15.01,7.751533
15.07,7.5755157
15.09,7.8461185
15.1,8.071532
15.15,7.8469443
15.16,7.921385
15.25,7.5401497
15.34,7.8419833
15.39,7.699795
15.5,8.295865
15.54,8.203971
15.56,8.180911
15.69,7.770687
15.76,8.261167
16.05,8.116413
16.07,8.019346
16.08,8.5184145
16.29,8.127242
16.34,8.773635
16.4,8.576681
16.69,8.261351
16.87,8.825437
16.89,8.3038
16.95,8.993769
17.02,8.684384
17.08,8.468506
17.1,8.595609
17.22,8.407794
17.41,8.877576
17.66,8.515465
17.79,8.497142
17.96,8.306448
17.97,8.397177
17.99,8.788467
18.29,8.7139845
18.35,8.505158
18.39,8.976988
18.59,8.8280525
18.6,8.505197
18.7,8.659562
18.73,9.0047245
18.97,8.5874
19.0,8.828844
19.09,8.440877
19.11,9.030039
19.15,9.0318575
19.17,9.155656
19.3,8.928809
19.38,9.217726
19.54,9.150605
19.64,8.949891
19.69,8.941154
19.72,9.191277
19.73,9.336865
19.74,9.393323
19.78,9.193726
19.87,8.920238
19.89,9.1419525
19.91,9.110969
20.01,9.205737
20.18,9.712277
20.42,8.942722
20.47,9.359076
20.59,9.460249
20.6,9.083561
20.63,9.443735
20.67,9.689275
20.81,9.196413
20.87,9.538898
21.16,9.139876
21.2,8.935238
21.21,9.027392
21.22,9.200166
21.23,9.127089
21.34,9.976011
21.37,9.244166
21.47,8.699164
21.53,9.207427
21.62,8.9319935
21.65,9.344411
21.69,8.762627
21.7,9.121763
21.78,8.942763
21.86,9.735908
21.94,9.22772
22.16,7.8457603
22.27,9.173077
22.36,9.668107
22.64,9.167529
22.71,9.759938
22.75,8.054643
22.82,9.062738
22.94,8.883237
23.05,8.622628
23.11,10.575564
23.15,10.674689
23.21,9.033507
23.3,10.690905
23.35,10.082331
23.37,9.956667
23.46,8.723982
23.52,8.786417
23.66,9.700097
23.71,9.62936
23.72,10.752523
23.87,10.628889
24.02,8.994333
24.03,11.339908
24.06,11.656344
24.08,10.861089
24.1,10.439315
24.14,11.394018
24.23,10.516322
24.25,10.149753
24.43,12.944815
24.54,11.085977
24.57,10.21962
24.74,12.711574
24.89,11.56935
24.93,11.672069
24.97,11.893506
25.04,10.917143
25.14,11.127692
25.32,11.485699
25.38,9.965397
25.52,12.947841
25.65,12.981594
25.68,11.7374735
25.71,12.433425
25.74,10.004138
25.91,13.2065
25.97,11.376216
26.0,12.286667
26.06,10.610575
26.07,11.312371
26.13,10.580119
26.41,10.683793
26.46,13.004205
26.51,11.655425
26.53,11.223
26.62,12.35465
26.72,11.068411
26.9,12.578473
26.97,12.476786
27.03,13.352442
27.34,13.857536
27.48,12.590807
27.56,12.838
27.69,12.167143
27.73,10.229787
27.82,11.062089
27.86,13.127833
27.89,11.824559
27.9,12.047715
27.94,13.162
28.01,10.719231
28.31,9.788625
28.33,15.2475
28.34,10.260926
28.63,10.346
28.65,14.878125
28.66,11.66
28.69,10.494473
28.75,14.239091
28.82,9.905385
29.0,14.414545
29.07,12.130606
29.09,12.264318
29.11,15.911731
29.14,15.442174
29.21,15.129499
29.28,14.956487
29.55,12.682667
29.67,17.021725
29.82,15.595142
30.01,16.37387
30.02,17.13147
30.11,17.103
30.12,16.68
30.36,12.5199995
30.51,13.355937
30.6,17.125334
30.65,12.5396
30.71,12.969167
30.72,12.574545
30.83,13.543
30.91,14.865
30.93,20.925882
31.04,13.7484
31.2,16.7261
31.32,16.946
31.48,17.024374
31.58,17.355999
31.67,13.42353
31.7,17.928484
31.77,18.472631
31.8,18.077166
31.91,21.005217
31.97,18.079655
32.0,15.880384
32.01,12.644782
32.02,22.173332
32.06,19.177618
32.18,22.869999
32.2,16.771984
32.22,18.30294
32.32,22.006363
32.38,19.267334
32.43,18.608889
32.64,21.062609
32.71,24.952353
32.86,20.732666
32.88,15.858235
32.89,9.996667
32.98,26.705334
33.12,21.2775
33.16,22.079231
33.3,18.349333
33.31,14.903846
33.38,15.65
33.39,20.613571
33.45,16.301538
33.56,24.5485
33.84,29.55375
33.94,18.462727
34.02,13.4939995
34.07,13.179167
34.08,25.231333
34.23,7.8166666
34.26,20.8825
34.27,18.345789
34.41,12.746364
34.43,19.948181
34.56,20.772
34.81,28.244444
34.83,14.22125
34.99,25.006
35.02,19.930834
35.08,14.979231
35.22,11.214
35.34,23.3425
35.91,19.403
35.95,17.755333
35.98,26.299376
36.17,18.5975
36.33,17.945333
36.36,29.562222
36.39,21.981766
36.55,17.763077
36.66,17.088
36.94,19.799168
36.99,23.637777
37.04,20.872223
37.12,9.997778
37.15,16.26
37.25,21.278334
37.58,23.01125
37.61,21.677143
37.65,18.988571
37.83,12.228889
37.88,22.775
38.04,16.173334
38.16,21.389091
38.28,10.247499
38.29,21.4
38.47,16.355
38.48,24.6525
38.51,19.879091
38.53,27.0575
38.61,13.9725
38.66,22.753635
38.99,19.004545
39.01,26.514444
39.02,17.998333
39.05,11.103333
39.23,18.738333
39.26,11.934
39.43,10.273334
39.47,28.256
39.68,17.8375
39.71,15.465
39.78,31.498
39.93,34.974545
39.94,29.163334
39.96,12.88
40.31,38.263332
40.37,25.75
40.4,22.401176
40.55,21.78
40.61,13.261666
40.64,18.494
40.99,24.682858
41.03,14.288334
41.19,15.482
41.28,29.303333
41.29,0.0
41.6,27.105625
41.61,18.69143
41.81,40.702854
41.84,2.8999999
41.85,14.17
41.87,18.31
42.0,23.623823
42.09,25.352499
42.11,29.86
42.16,32.646248
42.18,19.630001
42.21,21.04
42.24,26.23
42.37,15.0
42.42,8.031428
42.43,24.0
42.53,5.0
42.55,26.403334
42.6,18.9675
42.73,21.47125
42.94,23.26
42.95,54.125
43.0,18.6256
43.16,17.5
43.27,18.630001
43.33,12.262
43.45,11.28
43.59,42.5
43.69,47.31
43.86,27.19
43.88,14.786667
44.09,27.071667
44.11,9.415
44.12,17.686666
44.15,20.48
44.61,20.005
44.82,0.0
44.96,13.968
45.15,25.130001
45.22,28.816668
45.23,15.76
45.31,19.88
45.32,5.025
45.36,0.0
45.47,19.402857
45.63,15.731251
45.68,66.16
45.76,16.802856
45.79,35.765
45.84,0.0
45.99,31.31
46.11,21.54
46.13,0.0
46.14,51.27
46.15,18.055
46.24,9.6525
46.31,43.76
46.32,39.422
46.37,38.04
46.39,15.0
46.41,35.760002
46.66,0.0
46.7,18.597084
46.94,48.9125
46.97,32.59
46.98,65.63
47.18,15.08
47.3,17.323
47.85,20.0
48.08,56.7
48.24,15.04
48.36,29.119999
48.38,15.08
48.42,5.855
48.44,0.0
48.53,25.0
48.57,20.0
48.8,24.735
48.86,49.355003
48.97,11.666667
49.13,39.795
49.17,20.656668
49.2,9.561111
49.24,37.01
49.49,0.0
49.59,12.5
49.6,13.723846
49.76,24.903334
49.77,25.023333
49.91,31.64
49.92,9.64
49.97,20.0
50.2,45.953335
50.22,20.0
50.35,10.0
50.49,44.035
50.55,22.79
50.67,8.54
