fare_amount_bin,avg_tip
0.3,1.2725
0.44,0.0
0.77,0.0
0.79,0.0
0.86,0.0
1.09,6.525
1.21,0.0
1.34,0.0
1.65,0.0
1.73,9.05
1.8,0.0
1.9,0.0
2.34,0.0
2.45,0.82
2.56,3.14
2.99,0.0
3.25,0.0
3.37,0.0
3.6,0.0
3.96,0.36
4.19,0.37
4.32,0.0
4.55,0.485
4.88,1.14
5.55,0.725
5.56,0.0
5.83,6.0
5.85,0.0
5.9,0.335
6.89,0.765
7.15,0.0
7.26,0.0
7.33,1.19
7.59,0.0
7.66,3.0
7.8,1.6023703
7.88,1.096
7.99,8.38
8.06,0.0
8.09,1.73
8.2,0.90999997
9.03,1.475
9.51,2.35
9.56,1.0
9.6,1.1678572
9.9,1.4388889
10.03,2.17
10.26,1.105
10.33,0.0
10.35,0.35
10.4,1.4836364
10.53,2.25
10.65,2.25
10.7,0.6583333
10.75,1.655
10.85,2.25
11.01,0.0
11.13,2.86
11.36,1.0
11.38,0.0
11.4,2.0333333
11.65,2.35
11.7,1.2257143
11.81,1.21
12.3,2.3204117
12.7,1.3088235
12.89,3.52
12.99,0.0
13.55,1.3783333
14.14,2.99
14.34,2.27
14.38,1.0
14.88,2.76
15.01,0.0
15.07,0.0
15.09,0.8352941
15.1,0.6390909
15.15,0.48307693
15.16,0.0
15.25,0.0
15.34,0.0
15.39,0.0
15.54,0.58285713
15.56,0.0
15.69,0.0
15.76,0.724375
16.05,0.0
16.07,0.0
16.29,0.0
16.34,0.0
16.4,2.1466668
16.69,0.0
16.87,0.5883333
16.89,0.0
16.95,0.0
17.02,0.27384615
17.08,3.45
17.1,0.29
17.22,0.0
17.41,0.0
17.66,0.0
17.79,0.42222223
17.96,0.0
17.97,0.0
18.29,0.0
18.35,0.0
18.39,0.0
18.59,0.0
18.6,1.9766667
18.7,0.47708333
18.73,0.0
18.97,0.0
19.09,0.0
19.11,0.0
19.15,3.85
19.17,0.0
19.3,2.9525943
19.38,0.0
19.54,0.0
19.64,0.0
19.69,0.0
19.72,0.0
19.73,0.51375
19.78,0.0
19.87,0.0
19.89,0.43761906
19.91,0.0
20.01,0.0
20.18,0.03
20.42,0.0
20.47,0.0
20.59,0.0
20.6,0.92
20.63,0.0
20.67,0.0
20.81,0.0
20.87,0.0
21.16,0.0
21.2,0.88
21.21,0.0
21.22,0.0
21.23,0.0
21.34,0.58181816
21.37,0.0
21.47,0.0
21.53,0.0
21.62,0.0
21.65,0.0
21.69,0.0
21.7,1.8000001
21.78,0.0
21.86,0.0
21.94,0.0
22.16,0.0
22.27,0.0
22.36,0.0
22.64,0.0
22.71,0.0
22.75,0.0
22.82,0.0
22.94,0.0
23.05,0.0
23.11,0.0
23.15,0.0
23.21,0.0
23.3,3.8366666
23.35,0.0
23.37,0.0
23.46,0.40416667
23.52,0.0
23.66,0.0
23.71,0.0
23.72,0.0
23.87,0.0
24.02,0.0
24.03,0.0
24.06,0.57058823
24.08,0.0
24.1,0.0
24.14,0.0
24.23,0.0
24.25,0.0
24.43,0.825
24.54,0.0
24.57,0.0
24.74,0.0
24.89,0.0
24.93,0.0
24.97,0.0
25.04,0.388
25.14,0.0
25.32,0.0
25.38,0.7342857
25.52,0.0
25.65,0.0
25.68,0.0
25.71,0.0
25.74,0.0
25.91,0.0
25.97,0.80200005
26.0,4.7921524
26.06,1.8154546
26.07,0.0
26.13,0.0
26.41,0.0
26.46,1.3625
26.51,0.0
26.53,0.0
26.62,0.0
26.72,0.0
26.9,0.0
26.97,0.0625
27.03,0.0
27.34,0.0
27.48,0.0
27.56,1.0907693
27.69,0.0
27.73,0.0
27.82,0.0
27.86,0.0
27.89,0.0
27.9,1.148
27.94,0.0
28.01,0.0
28.31,0.0
28.33,1.91
28.34,0.0
28.63,0.0
28.65,0.0
28.66,0.0
28.69,0.0
28.75,0.9666667
28.82,0.0
29.0,5.5627604
29.07,0.0
29.09,0.0
29.11,0.0
29.14,0.0
29.21,0.0
29.28,1.8333334
29.55,0.0
29.67,0.0
29.82,0.0
30.01,0.0
30.02,0.0
30.11,0.0
30.12,0.0
30.36,0.55727273
30.51,0.0
30.6,2.7133334
30.65,0.0
30.71,0.0
30.72,0.0
30.83,0.0
30.91,0.0
30.93,0.0
31.04,0.0
